BEDS Code,School Name,Local School Code
307500010000,Home Instruction,97M501
307500011035,P.S. 035,97M035
307500011079,P.S. M079 - Horan School,97M079
307500011094,P.S. M094,97M094
307500011138,P.S. 138,97M138
307500011169,P.S. M169 - Robert F. Kennedy,97M169
307500011226,P.S. M226,97M226
307500011401,Hospital Schools,97M401
307500011721,P.S. M721 - Manhattan Occupational Training Center,97M721
307500011751,Manhattan School for Career Development,97M751
307500011811,P.S. M811 - Mickey Mantle School,97M811
307500012010,P.S. X010,97X010
307500012012,P.S. X012 Lewis and Clark School,97X012
307500012017,P.S. X017,97X017
307500012168,P.S. 168,97X168
307500012176,P.S. X176,97X176
307500012186,P186X Walter J. Damrosch School,97X186
307500012188,P.S. X188,97X188
307500012352,The Vida Bogart School for All Children,97X352
307500012469,P469X - The Bronx School for Continuous Learners,97X469
307500012596,P.S. X596,97X596
307500012721,P.S. X721 - Stephen McSweeney School,97X721
307500012723,P.S. 723,97X723
307500012754,J. M. Rapport School Career Development,97X754
307500012811,P.S. X811,97X811
307500013004,P.S. K004,97K004
307500013036,P.S. 36,97K036
307500013053,P.S. K053,97K053
307500013077,P.S. K077,97K077
307500013140,P.S. K140,97K140
307500013141,P.S. K141,97K141
307500013231,P.S. K231,97K231
307500013368,P.S. 368,97K368
307500013369,P.S. K369 - Coy L. Cox School,97K369
307500013370,P.S. 370,97K370
307500013371,P.S. 371 - Lillian L. Rashkis,97K371
307500013372,P.S. 372 -The Children's School,97K372
307500013373,P.S. 373 - Brooklyn Transition Center,97K373
307500013396,P.S. K396,97K396
307500013721,P.S. K721 - Brooklyn Occupational Training Center,97K721
307500013753,P.S. K753 - School for Career Development,97K753
307500013771,P.S. K771,97K771
307500013811,P.S. K811 Connie Lekas School,97K811
307500014004,P.S. Q004,97Q004
307500014009,P.S. 009,97Q009
307500014023,P.S. Q023 @ Queens Children Center,97Q023
307500014075,Robert E. Peary School,97Q075
307500014177,P.S. Q177,97Q177
307500014224,P.S. Q224,97Q224
307500014233,P.S. Q233,97Q233
307500014255,P.S. Q255,97Q255
307500014256,P.S. Q256,97Q256
307500014277,The Riverview School,97Q277
307500014721,John F. Kennedy Jr. School,97Q721
307500014752,Queens Transition Center,97Q752
